"titulo","data","relatorio","nome"
"01. Todo candidato a Líder deverá: b) Ser membro batizado da Igreja Adventista do Sétimo Dia.","10/05/2005","Sou batizada.","Todo_candidato_a_Líder_deverá_b)_Ser_membro_batizado_da_Igreja_Adventista_do_Sét.pdf"
"01. Fazer um dos seguintes:a) Completar o Ano Bíblico Jovem.b) Ler a Bíblia toda em dois anos.","10/09/2025","Ler a Bíblia toda em dois anos","Abiblia.pdf"
"02. Ler o livro O Libertador, de Ellen White, e apresentar uma reação à leitura de duas páginas.","31/08/2025","ok","OLibertador.pdf"
"04. Demonstrar o crescimento de sua liderança e habilidade no ensino, completando quatro dos seguintes requisitos:a) Fazer uma dissertação sobre a arte de falar para adolescentes, de três a quatro páginas.b) Ajudar no treinamento de uma equipe para um evento dos Desbravadores de sua Associação/Missão.c) Ensinar duas especialidades para seus Desbravadores.d) Planejar e coordenar um acampamento de Clube ou unidade.e) Assistir, no mínimo, a 75% das reuniões de diretoria durante o ano e fazer um relatório de sua participação.f) Participar ou liderar um Pequeno Grupo por, no mínimo, seis meses. (Opção 01)","29/06/2025","Ensinar duas especialidades para seus Desbravadores.","EnsinodeEspecialidades.pdf"
"04. Demonstrar o crescimento de sua liderança e habilidade no ensino, completando quatro dos seguintes requisitos:a) Fazer uma dissertação sobre a arte de falar para adolescentes, de três a quatro páginas.b) Ajudar no treinamento de uma equipe para um evento dos Desbravadores de sua Associação/Missão.c) Ensinar duas especialidades para seus Desbravadores.d) Planejar e coordenar um acampamento de Clube ou unidade.e) Assistir, no mínimo, a 75% das reuniões de diretoria durante o ano e fazer um relatório de sua participação.f) Participar ou liderar um Pequeno Grupo por, no mínimo, seis meses. (Opção 02)","17/03/2024","d) Planejar e coordenar um acampamento de Clube ou unidade.","Planejamentodeacampamento.pdf"
"04. Demonstrar o crescimento de sua liderança e habilidade no ensino, completando quatro dos seguintes requisitos:a) Fazer uma dissertação sobre a arte de falar para adolescentes, de três a quatro páginas.b) Ajudar no treinamento de uma equipe para um evento dos Desbravadores de sua Associação/Missão.c) Ensinar duas especialidades para seus Desbravadores.d) Planejar e coordenar um acampamento de Clube ou unidade.e) Assistir, no mínimo, a 75% das reuniões de diretoria durante o ano e fazer um relatório de sua participação.f) Participar ou liderar um Pequeno Grupo por, no mínimo, seis meses. (Opção 03)","31/08/2025","e) Assistir, no mínimo, a 75% das reuniões de diretoria durante o ano e fazer um relatório de sua participação.","Presencanasreunioes.pdf"
"04. Demonstrar o crescimento de sua liderança e habilidade no ensino, completando quatro dos seguintes requisitos:a) Fazer uma dissertação sobre a arte de falar para adolescentes, de três a quatro páginas.b) Ajudar no treinamento de uma equipe para um evento dos Desbravadores de sua Associação/Missão.c) Ensinar duas especialidades para seus Desbravadores.d) Planejar e coordenar um acampamento de Clube ou unidade.e) Assistir, no mínimo, a 75% das reuniões de diretoria durante o ano e fazer um relatório de sua participação.f) Participar ou liderar um Pequeno Grupo por, no mínimo, seis meses. (Opção 04)","31/08/2025","f) Participar ou liderar um Pequeno Grupo por, no mínimo, seis meses.","PequenoGrupo.pdf"
"07. Estudar o livro Nisto Cremos - crenças fundamentais 1 a 10, e prestar o exame preparado pela DSA, disponível em sua Associação/Missão com nota mínima de 7,0 (70%).","31/08/2025","ok","10crencas.pdf"
"01. Participar de um seminário de 4 horas dirigido pelo Ministério de Desbravadores e Aventureiros da Associação/Missão sobre o papel do conselheiro.","31/08/2025","ok","CursodeConselheiros.pdf"
"02-. Participar de um curso de liderança de 10 hs realizado pelo Ministério de Desbravadores e Aventureiros da Associação/Missão e apresentar o certificado.","31/08/2025","ok","CursodeLideranca.pdf"
"03. Participar de um dos projetos missionários abaixo por 7 dias ou mais: (a) Missão Calebe/Calebe de Lenço.b) Evangelismo Público.c) Semana Santa.d) Semana de Colheita.)","16/08/2025","Missão Calebe/Calebe de Lenço (fizemos feira de saude)","MissaoCalebe.pdf"
