titulo,link
01. Todo candidato a Líder deverá: b) Ser membro batizado da Igreja Adventista do Sétimo Dia.,https://clubes.adventistas.org/br/file-card-member/7/1388/2958/
"01. Todo candidato a líder deverá: c) Possuir uma recomendação, por escrito, da comissão de sua igreja para iniciar a Classe.",https://clubes.adventistas.org/br/file-card-member/7/1389/2959/
01. Fazer um dos seguintes: a) Completar o Ano Bíblico Jovem. b) Ler a Bíblia toda em dois anos.,https://clubes.adventistas.org/br/file-card-member/7/152/327/
"02. Ler o livro O Libertador, de Ellen White, e apresentar uma reação à leitura de duas páginas.",https://clubes.adventistas.org/br/file-card-member/7/153/328/
"03. Selecionar e ler um livro sobre liderança ou desenvolvimento juvenil, e apresentar uma reação à leitura de duas páginas.",https://clubes.adventistas.org/br/file-card-member/7/154/329/
"04. Demonstrar o crescimento de sua liderança e habilidade no ensino, completando quatro dos seguintes requisitos: a) Fazer uma dissertação sobre a arte de falar para adolescentes, de três a quatro páginas. b) Ajudar no treinamento de uma equipe para um evento dos Desbravadores de sua Associação/Missão. c) Ensinar duas especialidades para seus Desbravadores. d) Planejar e coordenar um acampamento de Clube ou unidade. e) Assistir, no mínimo, a 75% das reuniões de diretoria durante o ano e fazer um relatório de sua participação. f) Participar ou liderar um Pequeno Grupo por, no mínimo, seis meses.",https://clubes.adventistas.org/br/file-card-member/7/155/330/
"06. Estudar o Manual Administrativo do Clube de Desbravadores e prestar o exame preparado pela DSA, disponível na sua Associação/Missão com nota mínima de 7,0 (70%).",https://clubes.adventistas.org/br/file-card-member/7/157/339/
"07. Estudar o livro Nisto Cremos - crenças fundamentais 1 a 10, e prestar o exame preparado pela DSA, disponível em sua Associação/Missão com nota mínima de 7,0 (70%).",https://clubes.adventistas.org/br/file-card-member/7/158/340/
01. Participar de um seminário de 4 horas dirigido pelo Ministério de Desbravadores e Aventureiros da Associação/Missão sobre o papel do conselheiro.,https://clubes.adventistas.org/br/file-card-member/7/159/341/
"04. Ler os capítulos 4, 5, 6, 7, 8, 31, do livro Orientação da Criança, de Ellen White, e apresentar uma reação à leitura de uma página.",https://clubes.adventistas.org/br/file-card-member/7/162/344/
"01. Apresentar o certificado de participação em um curso de Treinamento de Diretoria - Nível básico, com duração de no mínimo 6h realizado pelo Ministério de Desbravadores da Associação/Missão ou Região.",https://clubes.adventistas.org/br/file-card-member/7/166/348/
02. Participar de um curso de liderança de 10 hs realizado pelo Ministério de Desbravadores e Aventureiros da Associação/Missão e apresentar o certificado.,https://clubes.adventistas.org/br/file-card-member/7/167/349/
03. Participar de um dos projetos missionários abaixo por 7 dias ou mais:,https://clubes.adventistas.org/br/file-card-member/7/168/350/
